bs_id,latitude,longitude,workload,observed_slots,mean_sms-in,mean_sms-out,mean_call-in,mean_call-out,mean_internet
MI_B43,45.35849092,9.26652702,13.8784683736,8784,1.0563736719,0.4348724459,0.7036386536,0.8395003233,13.8784683736
MI_B44,45.35847675,9.27252780,20.7481624747,8784,1.2643895275,0.4582933534,1.0488031924,1.1084576416,20.7481624747
MI_B45,45.35846229,9.27852858,18.9488086464,8784,1.1265066657,0.3620900833,0.9458698536,0.9906190076,18.9488086464
MI_B46,45.35844750,9.28452935,22.7960189037,8784,1.5641726600,0.5809363063,1.2716510822,1.5823164787,22.7960189037
MI_B47,45.35843234,9.29053011,38.8079247794,8568,2.0402501580,0.7903958583,1.6727791286,2.2308883997,38.8079247794
MI_B48,45.35841696,9.29653088,56.4881334080,8568,2.5288392246,0.9940661856,2.0912788034,2.8755943245,56.4881334080
MI_B49,45.35840122,9.30253164,56.1634444002,8568,2.5141488867,0.9885052948,2.0794869840,2.8590773587,56.1634444002
MI_B50,45.35838519,9.30853239,56.4498864769,8568,2.5255670908,0.9933266243,2.0896215994,2.8731441367,56.4498864769
MI_B51,45.36303157,9.01449256,39.7762090786,8784,2.4813727625,1.3493476212,1.5443101914,1.6037491720,39.7762090786
MI_B52,45.36303069,9.02049390,41.8700072217,8784,2.7985840374,1.5072273421,1.7425486707,1.8224439157,41.8700072217
MI_B53,45.36302943,9.02649522,42.1914874388,8784,2.8663540559,1.5410753079,1.7871628579,1.8697880164,42.1914874388
MI_B54,45.36302790,9.03249655,42.0180493874,8784,2.8484377831,1.5270405948,1.7681857119,1.8539616629,42.0180493874
MI_B55,45.36302603,9.03849788,38.7038226537,8784,2.6947041583,1.4485440616,1.6783182138,1.7645263835,38.7038226537
MI_B56,45.36302383,9.04449920,15.4892773463,8784,1.6021096638,0.8811546067,1.0549371646,1.1406990251,15.4892773463
MI_B57,45.36302134,9.05050052,13.1041874904,8784,0.8003770267,0.4529390917,0.4981533732,0.5414379223,13.1041874904
MI_B58,45.36301856,9.05650185,14.5573192958,8784,0.8569797520,0.4918206200,0.5276386793,0.6173192958,14.5573192958
MI_B59,45.36301541,9.06250317,14.6041781240,8784,0.8507890871,0.4872619567,0.5209706890,0.6430735839,14.6041781240
MI_B60,45.36301198,9.06850450,15.4377946273,8784,0.8704866887,0.4933559091,0.5344795970,0.6573188492,15.4377946273
MI_B61,45.36300824,9.07450582,18.4471891233,8784,1.0004576130,0.6062351155,0.6233643889,0.7380689626,18.4471891233
MI_B62,45.36300413,9.08050713,26.0962631930,8784,1.5108432327,1.1785177193,0.9739695144,1.0463398377,26.0962631930
MI_B63,45.36299977,9.08650846,28.2178781153,8784,1.4312785561,0.9892134293,0.9298978235,0.9776225334,28.2178781153
MI_B64,45.36299505,9.09250977,30.4167702052,8784,1.2622486028,0.6625672441,0.8316654704,0.8529714595,30.4167702052
MI_B65,45.36299004,9.09851108,30.4899382322,8784,1.2566241394,0.6516981082,0.8283967937,0.8488237011,30.4899382322
MI_B66,45.36298470,9.10451240,31.1054576484,8784,1.3357475421,0.6836311015,0.9070363519,0.9293552954,31.1054576484
MI_B67,45.36297905,9.11051371,30.4790012963,8784,1.2405081878,0.6508826623,0.8236472876,0.8442101335,30.4790012963
MI_B68,45.36297313,9.11651503,30.3874400833,8784,1.2941083701,0.6636495665,0.8609345284,0.8927232044,30.3874400833
MI_B69,45.36296681,9.12251633,46.2818815294,8784,2.3519670322,1.5484969153,1.4935406853,1.6346097443,46.2818815294
MI_B70,45.36296022,9.12851764,65.7496867864,8784,3.3986288688,2.6688191196,2.0188162958,2.2071810639,65.7496867864
MI_B71,45.36295330,9.13451894,67.1940698963,8784,4.1356830248,2.9975521259,2.8938002585,2.7377735177,67.1940698963
MI_B72,45.36294607,9.14052024,43.5046373751,8784,3.3978061888,1.9841836104,2.7206193416,2.3390184079,43.5046373751
MI_B73,45.36293852,9.14652154,164.3789165820,8784,7.6993420273,3.6982221912,5.0370280999,5.0053183823,164.3789165820
MI_B74,45.36293070,9.15252284,271.6705980458,8784,11.5430937581,5.5264558275,7.1734203096,7.4580497819,271.6705980458
MI_B75,45.36292247,9.15852412,135.1387873830,8784,8.6716472702,4.1081680854,5.3244384779,6.0272316230,135.1387873830
MI_B76,45.36291400,9.16452542,103.5944723930,8784,5.6368147016,2.5563285710,3.3324687020,3.6714414722,103.5944723930
MI_B77,45.36290519,9.17052671,96.9296326368,8784,4.4439899708,1.9431029800,2.5473401152,2.6933313013,96.9296326368
MI_B78,45.36289613,9.17652800,84.9365027123,8784,3.5084415151,1.6133130857,2.1544633845,2.5022566694,84.9365027123
MI_B79,45.36288666,9.18252928,44.2833227654,8784,2.5450263642,0.9703426866,1.6460137232,2.6694214524,44.2833227654
MI_B80,45.36287691,9.18853056,36.6077540263,8784,2.5909141146,1.2162779206,1.7114134177,2.1903083330,36.6077540263
MI_B81,45.36286685,9.19453184,33.6376898594,8784,2.1544353187,1.2272747450,1.7408015197,1.8189697387,33.6376898594
MI_B82,45.36285648,9.20053311,36.0879041313,8784,2.0771816144,1.1316137526,1.7222631440,1.9030171467,36.0879041313
MI_B83,45.36284578,9.20653438,60.9127686853,8784,2.7391779955,1.6492016918,1.9846078331,2.1107164147,60.9127686853
MI_B84,45.36283477,9.21253565,75.7997032772,8784,4.7946082984,2.4588679899,3.3814764643,3.7445337176,75.7997032772
MI_B85,45.36282347,9.21853692,86.5458971312,8784,6.3749679871,3.0855822700,4.4977908232,4.9807289975,86.5458971312
MI_B86,45.36281180,9.22453817,65.1617387314,8784,4.4186030616,2.2488429823,3.0329693416,3.3187872907,65.1617387314
MI_B87,45.36279987,9.23053943,55.0096778860,8784,2.7068206278,1.4372560149,1.5900629409,1.7737181292,55.0096778860
MI_B88,45.36278758,9.23654068,55.0105331669,8784,2.7076985687,1.4372965184,1.5902367776,1.7729129478,55.0105331669
MI_B89,45.36277500,9.24254193,48.9726729766,8784,2.4764309861,1.3052150093,1.4613500490,1.6349439453,48.9726729766
MI_B90,45.36276211,9.24854318,50.2600921111,8784,2.5950223075,1.2476444632,1.6130884342,1.8585995332,50.2600921111
MI_B91,45.36274888,9.25454442,15.5441238846,8784,1.1810732756,0.5042337455,0.7511592874,0.9038005234,15.5441238846
MI_B92,45.36273534,9.26054565,15.2826441923,8784,1.0768969751,0.4582705408,0.7149561995,0.8644734520,15.2826441923
MI_B93,45.36272150,9.26654689,24.7440306323,8784,0.9904802317,0.3578419058,0.8890438098,1.0329725003,24.7440306323
MI_B94,45.36270732,9.27254811,14.2266897545,8784,0.7319716820,0.2825742766,0.6349598155,0.6774528916,14.2266897545
MI_B95,45.36269289,9.27854934,17.6635332895,8784,1.1287126773,0.5476682652,0.9612450778,1.0645407335,17.6635332895
MI_B96,45.36267805,9.28455055,17.6562162575,8784,1.0891397676,0.4077372149,0.9048386335,1.0896015778,17.6562162575
MI_B97,45.36266300,9.29055178,23.7526181112,8784,1.6286351262,0.6191951729,1.3188890307,1.6844834408,23.7526181112
MI_B98,45.36264752,9.29655298,46.6532005190,8568,2.2486368179,0.8777852274,1.8519225599,2.5098712301,46.6532005190
MI_B99,45.36263182,9.30255419,55.3547406363,8568,2.5084777940,0.9782935243,2.0595942167,2.8345812319,55.3547406363
MI_B100,45.36261574,9.30855538,49.3174836202,8591,2.3462088087,0.8979792984,1.8676900943,2.5761470029,49.3174836202
MI_B101,45.36726226,9.01449365,18.4519018837,8784,1.0275996517,0.5827090426,0.6543456310,0.6810296567,18.4519018837
MI_B102,45.36726129,9.02049542,23.4371627813,8784,1.2778909148,0.7197735195,0.8070875403,0.8316356121,23.4371627813
MI_B103,45.36726012,9.02649721,24.3689120595,8784,1.3776545618,0.7706552818,0.8697387107,0.8984073797,24.3689120595
MI_B104,45.36725852,9.03249897,24.7926955749,8784,1.6394277495,0.8303775951,0.9586975626,1.0243401283,24.7926955749
MI_B105,45.36725668,9.03850075,19.0826693535,8784,1.4180857977,0.6786973107,0.7935847855,0.8759026191,19.0826693535
MI_B106,45.36725447,9.04450251,16.2950735230,8784,0.9665379463,0.5166621072,0.5741029506,0.6249159517,16.2950735230
MI_B107,45.36725199,9.05050429,15.9148478719,8784,0.8483090212,0.4778793595,0.5219580107,0.5606364219,15.9148478719
MI_B108,45.36724914,9.05650605,15.4441936981,8784,0.8046496637,0.4464493598,0.4829034618,0.5530407504,15.4441936981
MI_B109,45.36724605,9.06250783,17.9864751083,8784,0.9287199339,0.5104731873,0.5741781709,0.6990421497,17.9864751083
MI_B110,45.36724261,9.06850960,18.9405523594,8784,0.9568758297,0.5248429425,0.5937868533,0.7195036743,18.9405523594
MI_B111,45.36723885,9.07451137,25.0749093073,8784,1.3651787050,0.9990013665,0.8804919930,0.9914094510,25.0749093073
MI_B112,45.36723478,9.08051314,29.2104512646,8784,1.3392796682,0.8395071548,0.8807063649,0.9531797468,29.2104512646
MI_B113,45.36723038,9.08651490,30.4878340851,8784,1.2535236062,0.6515412253,0.8274830406,0.8555560125,30.4878340851
MI_B114,45.36722571,9.09251667,30.4899300872,8784,1.2566121375,0.6516975010,0.8283932566,0.8488497614,30.4899300872
MI_B115,45.36722066,9.09851843,30.4899382322,8784,1.2566241394,0.6516981082,0.8283967937,0.8488237011,30.4899382322
MI_B116,45.36721532,9.10452019,29.9513454575,8784,1.2328326460,0.6442311783,0.8156273708,0.8496428590,29.9513454575
MI_B117,45.36720967,9.11052195,31.7014251409,8784,1.4428373317,0.7262903284,1.0154827881,1.0331640340,31.7014251409
MI_B118,45.36720373,9.11652371,34.8755948656,8784,1.4226433338,0.8088082598,0.9301286248,0.9626978595,34.8755948656
MI_B119,45.36719743,9.12252546,76.9813736952,8784,3.5830267699,2.8090626187,2.1360007561,2.3110385104,76.9813736952
MI_B120,45.36719085,9.12852722,79.0469698496,8784,3.7126777454,2.9349495583,2.2051035950,2.3975581625,79.0469698496
MI_B121,45.36718390,9.13452896,79.4597184259,8784,4.1534812758,2.9600622718,2.3051771012,2.5565858600,79.4597184259
MI_B122,45.36717671,9.14053072,66.3412023861,8784,4.3848559649,3.0442130901,2.2908079941,2.7196603395,66.3412023861
MI_B123,45.36716915,9.14653246,80.8828930519,8784,6.1491793013,3.3572686291,3.5483566233,4.0678735736,80.8828930519
MI_B124,45.36716134,9.15253421,149.5350663366,8784,9.1283548610,4.3518645112,5.5990562346,6.1523194888,149.5350663366
MI_B125,45.36715315,9.15853595,110.4821380022,8784,5.9586365820,2.6799814573,3.4990187672,3.9070088650,110.4821380022
MI_B126,45.36714464,9.16453769,96.9967800192,8784,4.4523474392,1.9461427761,2.5522964621,2.6990487434,96.9967800192
MI_B127,45.36713583,9.17053942,92.7386564836,8784,3.7451005926,1.7297890497,2.1826284251,2.3479873910,92.7386564836
MI_B128,45.36712671,9.17654116,83.8218860969,8784,3.6583344248,1.6797690676,2.4517794741,3.0077023366,83.8218860969
MI_B129,45.36711729,9.18254289,75.7586493156,8784,4.3172540565,2.0481644895,3.2132160952,4.2112739934,75.7586493156
MI_B130,45.36710755,9.18854462,66.4474693608,8784,4.6742119447,4.1799183590,3.5510080910,4.4441925255,66.4474693608
MI_B131,45.36709744,9.19454633,42.8040760180,8784,3.9134234585,2.5736682357,3.1966057229,3.4692964892,42.8040760180
MI_B132,45.36708707,9.20054806,48.7413885277,8784,4.7381723137,2.6510818002,3.6979960030,4.0872439691,48.7413885277
MI_B133,45.36707638,9.20654978,69.6460260615,8784,5.7398814044,3.0448766388,4.4507943141,4.9486323335,69.6460260615
MI_B134,45.36706537,9.21255149,61.3475586334,8784,4.9031218854,2.4740914007,3.8396017253,4.2509636172,61.3475586334
MI_B135,45.36705406,9.21855321,62.7594467443,8784,5.3748737613,2.5732260120,4.0124972835,4.4705897947,62.7594467443
MI_B136,45.36704241,9.22455491,48.9152863549,8784,3.4596990821,1.7352332788,2.5143261244,2.8669978332,48.9152863549
MI_B137,45.36703046,9.23055662,44.3101137096,8784,2.3849248075,1.2622025517,1.5459924933,1.7852519638,44.3101137096
MI_B138,45.36701820,9.23655832,45.9234299912,8784,2.4912476359,1.2176698887,1.6323383818,1.9058937049,45.9234299912
MI_B139,45.36700559,9.24256001,45.0417790650,8784,2.4889508785,1.0816801335,1.6557176357,1.9681938344,45.0417790650
MI_B140,45.36699268,9.24856170,54.2783560903,8784,2.6992145959,1.2131213852,1.7750553514,2.0182154779,54.2783560903
MI_B141,45.36697948,9.25456339,14.8895732436,8784,1.0183050664,0.4209854047,0.6858399816,0.8341617447,14.8895732436
MI_B142,45.36696595,9.26056508,32.6010846454,8784,1.1385035308,0.3939323070,1.0517966522,1.2434646439,32.6010846454
MI_B143,45.36695210,9.26656676,18.0305189256,8784,0.7644968645,0.2751011220,0.7099042431,0.7753065107,18.0305189256
MI_B144,45.36693794,9.27256843,13.4732217793,8784,0.6802621299,0.2561403557,0.6037865235,0.6376386531,13.4732217793
MI_B145,45.36692347,9.27857010,13.4732217793,8784,0.6802621299,0.2561403557,0.6037865235,0.6376386531,13.4732217793
MI_B146,45.36690867,9.28457177,12.7892664913,8784,0.6608952843,0.2514426835,0.5648408792,0.6011075024,12.7892664913
MI_B147,45.36689355,9.29057343,15.5798525462,8784,1.0493529783,0.3913331345,0.7957778325,0.9727438123,15.5798525462
MI_B148,45.36687813,9.29657509,23.6575173072,8784,1.7044391714,0.6274144895,1.2429287495,1.6351908001,23.6575173072
MI_B149,45.36686238,9.30257674,28.0220672635,8652,1.7540723962,0.6254299403,1.2266808882,1.6715061912,28.0220672635
MI_B150,45.36684629,9.30857838,27.1618625296,8663,1.7038958345,0.6140730097,1.1710694510,1.6104665425,27.1618625296
MI_B151,45.37149284,9.01449472,16.6233142547,8784,0.9449517268,0.5393629306,0.6058710744,0.6330449637,16.6233142547
MI_B152,45.37149196,9.02049695,16.5829633852,8784,0.9367731423,0.5327781452,0.5990981715,0.6267595367,16.5829633852
MI_B153,45.37149067,9.02649916,16.5829633852,8784,0.9367731423,0.5327781452,0.5990981715,0.6267595367,16.5829633852
MI_B154,45.37148917,9.03250140,16.4083594704,8784,1.0005264525,0.5209956640,0.5899265272,0.6332454882,16.4083594704
MI_B155,45.37148726,9.03850361,15.9611614611,8784,1.0595485375,0.4645700970,0.5369543372,0.6082364106,15.9611614611
MI_B156,45.37148515,9.04450584,27.2149681332,8784,1.8611674469,0.9832246244,1.1621797648,1.2953049606,27.2149681332
MI_B157,45.37148260,9.05050805,19.0355868324,8784,1.1344883437,0.5462824426,0.6481867037,0.7322634549,19.0355868324
MI_B158,45.37147983,9.05651028,15.7232190027,8784,0.6966761922,0.3718623455,0.4135176829,0.4782475384,15.7232190027
MI_B159,45.37147667,9.06251249,18.2727509966,8784,0.8966033046,0.4888098567,0.5544841593,0.6715086388,18.2727509966
MI_B160,45.37147324,9.06851471,23.4947374268,8784,1.1685839778,0.7329134919,0.7483757103,0.8569853396,23.4947374268
MI_B161,45.37146944,9.07451692,29.9949726109,8784,1.2588118181,0.6961652588,0.8339449034,0.9039484802,29.9949726109
MI_B162,45.37146540,9.08051914,30.4775829705,8784,1.2384182359,0.6507769134,0.8230313613,0.8883549058,30.4775829705
MI_B163,45.37146100,9.08652135,30.4782210399,8784,1.2393584531,0.6508244872,0.8233084512,0.8861623634,30.4782210399
MI_B164,45.37145630,9.09252356,30.4821729648,8784,1.2451817505,0.6511191384,0.8250246258,0.8736690167,30.4821729648
MI_B165,45.37145133,9.09852578,30.4850469493,8784,1.2494166657,0.6513334195,0.8262726908,0.8644735763,30.4850469493
MI_B166,45.37144594,9.10452798,30.4808275282,8784,1.2431992033,0.6510188241,0.8244403525,0.8755412941,30.4808275282
MI_B167,45.37144030,9.11053019,31.2901689805,8784,1.3531906953,0.6938911679,0.9310821234,0.9793672988,31.2901689805
MI_B168,45.37143431,9.11653239,58.3533830257,8784,2.5198545464,1.8041260596,1.5569427966,1.6809909898,58.3533830257
MI_B169,45.37142806,9.12253460,77.7279031209,8784,3.6947789941,2.9226113240,2.1846946686,2.3849138341,77.7279031209
MI_B170,45.37142146,9.12853680,79.0443124666,8784,3.7087620000,2.9347514267,2.2039495920,2.4024043485,79.0443124666
MI_B171,45.37141454,9.13453899,79.6605376891,8784,3.8755435606,3.0202460809,2.2519053161,2.5149557005,79.6605376891
MI_B172,45.37140731,9.14054119,86.6597266480,8784,6.2386505169,3.7047718221,3.6228862036,4.2910995079,86.6597266480
MI_B173,45.37139981,9.14654339,107.9754430089,8784,7.8109681138,4.3338298551,4.2559430486,4.8327337607,107.9754430089
MI_B174,45.37139192,9.15254558,133.2031314814,8784,10.8752614200,4.9819151450,6.7173055363,7.3221601795,133.2031314814
MI_B175,45.37138373,9.15854776,182.5203766440,8784,11.6396316827,5.1456066267,7.3658586820,7.8043954102,182.5203766440
MI_B176,45.37137527,9.16454996,200.3310419561,8784,9.9212668334,4.2647415368,6.2466666443,6.7615996493,200.3310419561
MI_B177,45.37136644,9.17055214,136.3608009803,8784,6.6589136566,2.8546534055,4.5686548468,4.8436415325,136.3608009803
MI_B178,45.37135735,9.17655432,131.1795300352,8784,7.1208974545,3.1352548196,5.7372795286,6.3732971511,131.1795300352
MI_B179,45.37134789,9.18255650,100.4164292053,8784,5.7017558624,3.2596906825,4.1994358351,5.2296197331,100.4164292053
MI_B180,45.37133816,9.18855867,105.2441919698,8784,6.1031782122,8.0800104994,4.7314494976,5.5588344713,105.2441919698
MI_B181,45.37132809,9.19456085,73.6208300081,8784,5.7318563134,5.6103893058,4.5072062273,5.0287949004,73.6208300081
MI_B182,45.37131772,9.20056302,62.8595353614,8784,5.9039691280,3.1964688279,4.7145037117,5.2015597159,62.8595353614
MI_B183,45.37130696,9.20656517,150.8477231073,8784,10.4775968562,5.1763549688,7.4703483818,8.0983251450,150.8477231073
MI_B184,45.37129597,9.21256734,118.0351256627,8784,8.2039892414,3.9995276619,5.5112932985,6.0237538870,118.0351256627
MI_B185,45.37128463,9.21856949,86.7487258366,8784,4.1615450895,2.2990122134,2.9267498872,3.1821604421,86.7487258366
MI_B186,45.37127302,9.22457166,49.4645741079,8784,2.5985765401,1.5313397726,1.7945991928,2.0324267032,49.4645741079
MI_B187,45.37126106,9.23057381,37.5911923660,8784,2.1737706429,1.3259499013,1.5017050003,1.7349298262,37.5911923660
MI_B188,45.37124878,9.23657595,39.0650762007,8784,2.2404074624,1.3483159464,1.5505454399,1.7900937075,39.0650762007
MI_B189,45.37123618,9.24257809,38.4227973793,8784,2.2873207697,1.2714956348,1.6683874822,1.9271789203,38.4227973793
MI_B190,45.37122326,9.24858023,30.8152501091,8784,1.7948511627,0.9966508053,1.4056253090,1.5898276166,30.8152501091
MI_B191,45.37121009,9.25458238,43.5793671037,8784,1.4471440527,0.4969540665,1.3799526038,1.6129442911,43.5793671037
MI_B192,45.37119650,9.26058449,34.3881967393,8784,1.0778612519,0.3508566154,1.0913070374,1.2692163001,34.3881967393
MI_B193,45.37118271,9.26658663,13.4993640303,8784,0.6807453298,0.2562491213,0.6043952519,0.6384283641,13.4993640303
MI_B194,45.37116851,9.27258875,13.4608339112,8784,0.6786104141,0.2555245972,0.6025957179,0.6364965556,13.4608339112
MI_B195,45.37115402,9.27859087,13.4719888973,8784,0.6805518717,0.2560880639,0.6037703727,0.6376614299,13.4719888973
MI_B196,45.37113922,9.28459298,11.7077659170,8784,0.7018160743,0.2390987010,0.5175081824,0.5635423136,11.7077659170
MI_B197,45.37112412,9.29059509,17.7982774950,8784,2.0410140047,0.8456679143,1.3439352518,1.5090855610,17.7982774950
MI_B198,45.37110869,9.29659719,22.5592016109,8784,3.0934540240,1.2837282950,1.9864137611,2.3485298394,22.5592016109
MI_B199,45.37109293,9.30259929,26.4722130382,8652,1.8530849316,0.6430846578,1.2310003326,1.6290050903,26.4722130382
MI_B200,45.37107691,9.30860139,27.1717569178,8652,1.7186728515,0.6143978909,1.1759330023,1.6025597994,27.1717569178
MI_B201,45.37572347,9.01449581,16.6184192074,8784,0.9501351451,0.5441197698,0.6089369645,0.6364895192,16.6184192074
MI_B202,45.37572256,9.02049848,16.6391927345,8784,0.9481700835,0.5419541109,0.6085362810,0.6355183434,16.6391927345
MI_B203,45.37572134,9.02650115,16.7688382616,8784,0.9744475074,0.5631107297,0.6302973133,0.6557131372,16.7688382616
MI_B204,45.37571979,9.03250382,17.2578943033,8784,1.0623701994,0.6143957310,0.6846059295,0.7090573664,17.2578943033
MI_B205,45.37571791,9.03850649,15.8327094485,8784,0.9271777477,0.3732520817,0.4436637116,0.5147049653,15.8327094485
MI_B206,45.37571573,9.04450915,15.9970003189,8784,0.9339619148,0.3926094281,0.4629607513,0.5291229341,15.9970003189
MI_B207,45.37571322,9.05051182,15.8287141108,8784,0.9502949425,0.4684026041,0.5367155880,0.6609751316,15.8287141108
MI_B208,45.37571044,9.05651449,14.8209550736,8784,0.7818445405,0.4417238554,0.4981474042,0.5489102652,14.8209550736
MI_B209,45.37570731,9.06251715,17.6288585452,8784,0.8056320985,0.4489151985,0.5054460619,0.6006190133,17.6288585452
MI_B210,45.37570385,9.06851982,28.2137666486,8784,1.2117710119,0.6664380962,0.8048930615,0.8816216178,28.2137666486
MI_B211,45.37570012,9.07452248,30.4775829705,8784,1.2384182359,0.6507769134,0.8230313613,0.8883549058,30.4775829705
MI_B212,45.37569602,9.08052514,30.4293566051,8784,1.2484792190,0.6503722629,0.8241000046,0.8872418257,30.4293566051
MI_B213,45.37569163,9.08652780,30.4064734917,8784,1.3086698238,0.6510958532,0.8341855389,0.8686783387,30.4064734917
MI_B214,45.37568692,9.09253046,30.4642120827,8784,1.2675274151,0.6512318853,0.8284480480,0.8699961348,30.4642120827
MI_B215,45.37568187,9.09853311,30.4452112774,8784,1.2473122295,0.6599015873,0.8285965668,0.8898768285,30.4452112774
MI_B216,45.37567660,9.10453578,33.6352453073,8784,1.5555422057,0.8786959382,1.1074084414,1.1918381513,33.6352453073
MI_B217,45.37567093,9.11053843,42.9810589123,8784,1.6416985718,0.8892355274,1.1052520640,1.1749212484,42.9810589123
MI_B218,45.37566497,9.11654108,77.3029919492,8784,3.5077774620,2.7152300721,2.1066291738,2.3098006248,77.3029919492
MI_B219,45.37565863,9.12254372,79.0443124666,8784,3.7087620000,2.9347514267,2.2039495920,2.4081727317,79.0443124666
MI_B220,45.37565206,9.12854638,77.7057390403,8784,3.7139464846,2.9435901821,2.1913559388,2.4061320813,77.7057390403
